reconstruction_error,anomaly,severity,estimated_RUL
126.88642874183384,0,Normal,inf
113.21825855329747,0,Normal,inf
147.9150850191165,0,Normal,inf
106.19405002340264,0,Normal,inf
94.8093401541206,0,Normal,inf
110.80735494980075,0,Normal,inf
107.98731611427831,0,Normal,inf
143.27742786979283,0,Normal,inf
80.7279437425194,0,Normal,inf
114.02241016400389,0,Normal,inf
100.42093908542876,0,Normal,inf
110.79279455082523,0,Normal,inf
118.87927120447488,0,Normal,inf
99.44389059953416,0,Normal,inf
132.2080828450205,0,Normal,inf
133.36249759784778,0,Normal,inf
97.69938353810105,0,Normal,inf
149.15590367114902,0,Normal,168.07551386327066
156.12921206053102,0,Low,44.19376005292243
104.25534080618532,0,Normal,166.3544697285584
110.35114863429074,0,Normal,223.42520063433912
131.99742710948684,0,Normal,123.59716312450779
133.02055176513423,0,Normal,100.90588855453399
155.82792329349715,0,Low,42.28080898121039
111.6991459394028,0,Normal,113.55312208037064
126.83686573630531,0,Normal,95.24336331219537
107.44458768140623,0,Normal,162.91904866091596
130.04457719168295,0,Normal,115.46639758073056
103.4551681705201,0,Normal,234.4149699837215
118.65097401909414,0,Normal,218.57641180864556
91.7040710996266,0,Normal,698.9367699926368
136.06372272424142,0,Normal,248.5831505650393
115.97131559724605,0,Normal,396.09352887845375
112.77018958308958,0,Normal,542.7147929179096
126.53332217093164,0,Normal,386.48869761097694
103.490481119968,0,Normal,990.2395579710858
137.43771004346954,0,Normal,343.17691276556195
104.91832017187669,0,Normal,931.5146952425404
92.8834848763754,0,Normal,inf
68.1696586549603,0,Normal,inf
125.24771370757504,0,Normal,inf
98.69403099348756,0,Normal,inf
161.26825154121374,0,Low,inf
120.00728565733708,0,Normal,inf
140.00480829883864,0,Normal,1547.445955977453
88.86506020473551,0,Normal,inf
99.16602320248587,0,Normal,inf
152.6394396917095,0,Low,14905.71386312182
95.83452711090628,0,Normal,inf
110.58511317737278,0,Normal,inf
132.5803789871752,0,Normal,inf
149.34677276499693,0,Normal,990.3672753572513
152.15772245140525,0,Normal,368.34134489147425
118.35094835652644,0,Normal,708.1275218833113
123.6885056629702,0,Normal,635.2213521135436
91.79276887676484,0,Normal,1884.643293628246
111.4278086971578,0,Normal,2124.4648730642607
130.7414632636118,0,Normal,1077.1490634488434
124.05850359124248,0,Normal,1071.1856641421057
98.42951885733376,0,Normal,3269.2108610096093
107.33520471750988,0,Normal,8169.634522023165
106.3161909191416,0,Normal,inf
119.0103872956506,0,Normal,inf
119.1775671445943,0,Normal,inf
85.20606047954989,0,Normal,inf
108.06572181531966,0,Normal,inf
124.68729206060654,0,Normal,inf
108.67624461599952,0,Normal,inf
119.58133823725971,0,Normal,inf
119.8534614546352,0,Normal,inf
118.2415996130003,0,Normal,inf
113.67225456581173,0,Normal,inf
132.17061757240774,0,Normal,inf
80.60589601410139,0,Normal,inf
120.3106464931269,0,Normal,inf
113.87352765870044,0,Normal,inf
129.62115352267492,0,Normal,inf
158.35714838688958,0,Low,inf
142.25349568903425,0,Normal,2570.872464931582
100.083067281188,0,Normal,32440.881704035684
97.16777150025864,0,Normal,inf
140.8651079523748,0,Normal,9901.778145648579
116.85172441198964,0,Normal,17577.19011817052
124.32423855689812,0,Normal,7160.7754672546225
118.44916521280622,0,Normal,7638.637430788906
136.85456832757458,0,Normal,2311.0047490757174
107.14555883324262,0,Normal,5649.568845625678
128.73700444949972,0,Normal,2826.9440966009306
107.17395591774532,0,Normal,6116.9040170491335
154.8785855757042,0,Low,963.532338935881
132.40347006262573,0,Normal,1247.1787750859353
110.12875717700872,0,Normal,1998.0707534630292
111.7113716001503,0,Normal,2283.051248340411
116.08291814949972,0,Normal,2333.972110983129
139.74129515639493,0,Normal,1170.8465679623544
133.9105634389055,0,Normal,1096.7242386184855
122.69005317507344,0,Normal,1281.4424873301803
163.1276417177074,0,Low,381.0479064524641
177.3185998502137,0,Low,147.70857991204974
116.78483051176374,0,Normal,709.2588805990714
125.9111403605802,0,Normal,623.5230842369988
139.87913761620635,0,Normal,461.1951524928761
141.22532925327835,0,Normal,419.55778980064173
82.21850262184023,0,Normal,1100.1699920489684
122.89261762663112,0,Normal,709.2592770037546
119.42373511296016,0,Normal,767.1287034940722
134.9356491933282,0,Normal,577.7320583523095
141.99282782292286,0,Normal,470.5348440291905
121.0321948566439,0,Normal,675.3822761517195
98.39133410454843,0,Normal,1011.9392156773794
116.89546787110844,0,Normal,853.0053126628214
99.5585505517926,0,Normal,1205.178599644687
125.22997121643256,0,Normal,873.2779534158033
92.3322801923362,0,Normal,1583.8046100374943
121.1132526374264,0,Normal,1154.23383636756
111.30976893797347,0,Normal,1428.7843766396713
124.29175869191084,0,Normal,1193.1698854419976
161.37137160958736,0,Low,438.0303637058784
130.67717653489177,0,Normal,818.7911345990182
107.87469964708282,0,Normal,1222.2594510196852
96.61288616314572,0,Normal,1642.720157514892
103.65897405904212,0,Normal,1757.4223187293373
141.6097888736273,0,Normal,892.6324972103636
100.89677586775746,0,Normal,1859.1433079709107
125.20170942394232,0,Normal,1350.1839815089957
134.4594483654714,0,Normal,1077.7898560171795
109.103389056221,0,Normal,1695.8888693410008
111.813124167088,0,Normal,1785.8145243397078
145.61572012020198,0,Normal,893.946423987306
138.77450858306418,0,Normal,927.4097696982209
121.34221166586774,0,Normal,1237.6573711739063
144.74226637442192,0,Normal,749.5583125952135
87.32027366478964,0,Normal,2000.0871978596613
103.35314390248207,0,Normal,1943.6763887876675
88.36934416301267,0,Normal,2987.480449094556
117.55157007343476,0,Normal,2255.325412593827
103.59695335031029,0,Normal,3216.197991623366
86.42870062265155,0,Normal,6256.092873957061
101.43298146710526,0,Normal,8160.296479440157
135.27146234695485,0,Normal,3674.4293676007896
121.4169423787893,0,Normal,4449.98210038028
112.18957949766065,0,Normal,5887.478417013096
133.62468164360428,0,Normal,3394.7007386142286
126.47993990769562,0,Normal,3465.6387445212845
108.00190470817124,0,Normal,5412.512121806602
137.97979940774758,0,Normal,2698.7922526243274
143.99628363710363,0,Normal,1846.1622223772163
97.06881662680917,0,Normal,4731.362924195792
151.13342620122708,0,Normal,1504.1293352477028
123.38492012589565,0,Normal,2436.6460713287897
97.84718019604588,0,Normal,4227.511723157294
108.718349999302,0,Normal,4369.533340259547
128.46042828195533,0,Normal,3060.385615833727
105.04917219278924,0,Normal,5112.912763843978
138.2306041210699,0,Normal,2570.542695165365
138.78882376133072,0,Normal,2124.8340087327633
97.27194686273708,0,Normal,4804.530335710817
126.42701933170764,0,Normal,3159.912949739214
146.53152368495998,0,Normal,1739.1476902103789
147.7746317951201,0,Normal,1388.582176644674
127.79378222200164,0,Normal,1917.321706709334
103.24752609001,0,Normal,3010.9867596732947
75.63975297605549,0,Normal,6007.194398523336
128.79442432938953,0,Normal,3052.9928107751452
94.9810975991747,0,Normal,6343.678099262984
109.54682268485143,0,Normal,6407.211115527864
105.63170165906222,0,Normal,8830.188544296394
94.98585030034648,0,Normal,21070.04264930514
117.93938183816086,0,Normal,17466.215809644113
106.42174658128094,0,Normal,52949.45068224002
126.46351511979526,0,Normal,21634.4621571305
69.98710484636304,0,Normal,inf
138.0733860146439,0,Normal,inf
120.6900968823391,0,Normal,inf
118.36837950448398,0,Normal,inf
104.01674728648231,0,Normal,inf
117.1751699839149,0,Normal,inf
148.5489852001251,0,Normal,1277088.7530973481
128.29980709738777,0,Normal,37481.81092882815
123.39995377910168,0,Normal,28080.896170687756
134.36155947807532,0,Normal,11386.731060529077
161.49998289489724,0,Low,2557.5231142933617
130.58550136201995,0,Normal,4367.663842982307
141.41588250728532,0,Normal,2901.6774427101295
125.26269129324255,0,Normal,3650.9129475398536
93.32424220879857,0,Normal,7185.274783848386
134.52614753669502,0,Normal,3643.670537635854
131.34446012800183,0,Normal,3472.182210228795
95.06280452044938,0,Normal,7231.149322838803
129.76662316993458,0,Normal,4242.450988741242
119.17862347908192,0,Normal,5039.7101582011255
104.89921372527272,0,Normal,7272.43110421506
108.69139117347773,0,Normal,8255.112432133523
109.61073188903588,0,Normal,9790.240864761574
105.7965844240221,0,Normal,13868.608193180085
129.83595096176074,0,Normal,8135.889224127922
143.529761947421,0,Normal,4403.6781811686
134.1801969714793,0,Normal,4423.295898976129
113.09816024308854,0,Normal,6545.514933830621
139.06045165713064,0,Normal,3647.154096521444
163.67398280692325,0,Low,1426.540304520263
102.93898435438224,0,Normal,4903.560603984614
135.51945334054813,0,Normal,2846.05606591302
153.78985381493047,0,Low,1604.5888257310398
131.50077542282693,0,Normal,2370.4031569360723
112.97837353049307,0,Normal,3239.727332751513
127.56414916983836,0,Normal,2587.0541401566643
124.39024167298476,0,Normal,2686.666466570717
106.08414743447328,0,Normal,3718.2357178895295
88.25755187470615,0,Normal,5558.277440798599
148.6851765018262,0,Normal,2009.2557753165406
118.30409133896713,0,Normal,3432.9197346125084
97.25458160603256,0,Normal,5155.388565111419
94.10376577208235,0,Normal,6594.341960534571
126.5569851743387,0,Normal,4269.369860641252
90.59438330225926,0,Normal,8716.475294210817
127.17562379865063,0,Normal,5288.435713901373
138.48439989791356,0,Normal,3749.5022132244794
123.17272889013942,0,Normal,4710.602977000024
106.0178054855058,0,Normal,6694.589854264627
117.26555263839744,0,Normal,6062.240653311359
152.59283517793602,0,Low,2521.5493907382784
